"t","timedate","Ph","YTi","VAHU","TAHU","Ta","Ps","Vw","YTi_FF"
2152,2023-07-15 22:30:00,0.0120849609375,20.2674999237061,0,23.8700008392334,16.2,1,4.8,18.2124996185303
2153,2023-07-15 22:40:00,0.0179443359375,20.2425003051758,0,23.8700008392334,16.1,1,5.2,18.3675003051758
2154,2023-07-15 22:50:00,0.0120849609375,20.2425003051758,0,23.8700008392334,16.2,1,4.8,18.3699998855591
2155,2023-07-15 23:00:00,0.024169921875,20.2700004577637,0,23.8700008392334,16.2,1,5.2,18.460000038147
2156,2023-07-15 23:10:00,0.0120849609375,20.1800003051758,0,23.8700008392334,16.2,1,3.8,18.1700000762939
2157,2023-07-15 23:20:00,0.0179443359375,20.0124998092651,0,23.8700008392334,16.2,1,0,18.0775003433228
2158,2023-07-15 23:30:00,0.01171875,20.0699996948242,0,23.8700008392334,16.1,2,0,18.0874996185303
2159,2023-07-15 23:40:00,0.024169921875,19.9799995422363,0,23.8700008392334,16.1,2,0,17.9899997711182
2160,2023-07-15 23:50:00,0.01171875,20.022500038147,0,23.8700008392334,16,2,0,18.0374994277954
2161,2023-07-16 00:00:00,0.018310546875,20.2024993896484,0,23.8700008392334,16,1,0,18.0900001525879
2162,2023-07-16 00:10:00,0.0179443359375,20.0425004959106,0,23.8700008392334,16.1,1,0,18.1450004577637
2163,2023-07-16 00:20:00,0.0238037109375,20.1525001525879,0,23.8700008392334,16.1,2,0,18.2250003814697
2164,2023-07-16 00:30:00,0.0120849609375,20.0675001144409,0,23.8700008392334,16.1,1,0,18.0599994659424
2165,2023-07-16 00:40:00,0.0179443359375,20.0750007629395,0,23.8700008392334,16.2,1,0,18.0824995040894
2166,2023-07-16 00:50:00,0.0120849609375,20.0300006866455,0,23.8700008392334,16.1,2,0,18.0549993515015
2167,2023-07-16 01:00:00,0.024169921875,20.0275001525879,0,23.8700008392334,16.1,1,0,18.0824995040894
2168,2023-07-16 01:10:00,0.01171875,20.0524997711182,0,23.8700008392334,16,1,0,18.0999994277954
2169,2023-07-16 01:20:00,0.018310546875,20.0300006866455,0,23.8700008392334,16,2,0,18.1225004196167
2170,2023-07-16 01:30:00,0.01171875,19.9875001907349,0,23.75,16,3,0,18.0775003433228
2171,2023-07-16 01:40:00,0.024169921875,19.9175004959106,0,23.75,15.9,1,0,18
2172,2023-07-16 01:50:00,0.01171875,19.960000038147,0,23.75,15.9,1,0,18.0699996948242
2173,2023-07-16 02:00:00,0.0120849609375,20.0425004959106,0,23.75,15.8,1,0,18.1350002288818
2174,2023-07-16 02:10:00,0.0120849609375,19.8924999237061,0,23.75,15.8,1,0,18.085000038147
2175,2023-07-16 02:20:00,0.0179443359375,19.8625001907349,0,23.75,15.8,2,0,17.9125003814697
2176,2023-07-16 02:30:00,0.0120849609375,19.8599996566772,0,23.75,15.7,2,0,18.0474996566772
